time_date,median,l_ci80,u_ci80,l_ci95,u_ci95
2017-03-01,71.31227103405129,56.327066574452495,91.4791788470191,49.32872926856589,104.26152838280211
2017-04-01,70.12469183470712,56.06971143657563,87.87268798058982,50.30821721401432,99.7233909535951
2017-05-01,54.02992240215596,41.84688278399355,68.2705075294707,37.03372447966106,76.26251076684444
2017-06-01,50.46715964009951,38.839838782442875,63.53509343126761,33.394018087083275,71.09380711044382
2017-07-01,59.444512857294086,47.4517184785797,73.55948888157215,41.0634444821283,82.59286785954889
2017-08-01,64.72356966222708,52.168009702709156,80.10436768263608,46.0524025995028,89.41662311231
2017-09-01,58.710417220946304,46.891777137505535,72.50269353457934,41.28991365326289,81.04838727409918
2017-10-01,59.09011766345772,47.47679747836647,72.54346590565237,42.20751130801235,81.42700240204793
2017-11-01,56.655415594581115,45.50388493232894,69.90989501410132,39.70901186867023,77.38706174466503
2017-12-01,64.18925046217376,52.429766037139366,78.84894292324863,46.19378429805294,88.14197640129828
2018-01-01,73.07855405885837,59.628418847815865,90.12216326714237,53.58827962172403,101.45050544600451
2018-02-01,68.48244851406581,56.01757699499187,84.7544997372953,49.90680907714757,95.69673637872569
2018-03-01,63.262750881021034,51.393582266039466,77.01463283483534,45.30612028366401,86.09629060196555
2018-04-01,68.02836417670883,55.215340742693094,84.11059695480553,49.25213484188518,93.78707232305332
2018-05-01,68.89615799510662,56.28517107194453,84.47976285860939,50.83745115924166,94.62727409591507
2018-06-01,61.78078395063291,50.28079790410571,75.75896489630894,44.4175802688013,85.3142105689294
2018-07-01,57.34013453112716,45.54250151995432,70.49204457832445,40.381543248656854,78.3033294133102
2018-08-01,60.27934766831223,48.92283101534367,74.09621143379331,42.99695923019338,83.2976595669842
2018-09-01,62.55477395208459,50.93854123174549,76.25894861106464,45.14416380782389,85.2398700828002
2018-10-01,67.46818109715696,54.94797715043376,83.0079917560873,49.20451776926349,93.09099867818334
2018-11-01,69.3865037192208,56.398054456642626,85.93128579489431,50.516772073059535,97.37376677759849
2018-12-01,57.234733899614206,44.676648905362946,71.35911980244713,38.341013334579316,80.18066090181748
2019-01-01,65.91817428678712,52.94710869059549,82.29161067990145,47.272820779648605,93.00651938247998
2019-02-01,58.004212621639574,45.301431788648834,72.19935341660903,39.36722797561754,80.61785986115414
2019-03-01,76.64431433508335,59.673391306363854,97.97126573762873,50.82866897736811,112.66430231233154
2019-04-01,79.42367147589374,64.51141722290207,98.10360458204929,57.12281583652645,110.15738212297843
2019-05-01,75.82920533393974,61.538899639486466,92.2966375312371,54.247672583336474,102.73679079985217
2019-06-01,69.3513177318703,55.352597103620354,85.10279269902637,48.318033968589425,93.75881499694911
2019-07-01,69.21201580562291,55.329623474144725,85.00203908389838,48.9473651432837,94.767874077124
2019-08-01,65.7862786895844,52.06649297898573,80.62253261864926,46.56784124849798,89.53222977653077
2019-09-01,71.13823930068699,57.56186425937695,86.29591173946267,50.48794204153876,95.3922627295642
2019-10-01,78.74581122015991,65.08854857185412,94.97477205522233,58.64871312833027,106.31714422909833
2019-11-01,82.07011740935407,67.79904962147329,99.55843748779203,60.827762382955655,110.1012287637717
2019-12-01,95.55668596319981,78.26089815546453,117.23212081327753,69.80278923224809,130.4870073868605
2020-01-01,99.57312666386525,82.00935117717523,122.00985692111475,74.52248299936113,136.26502401549862
2020-02-01,74.2469447507656,59.594394857590885,90.39916413916215,52.50157124845846,99.59827950946442
2020-03-01,78.21112570206922,64.99209588303255,94.73030733214415,58.151797951236205,104.52628346156646
2020-04-01,76.9451042835657,63.927498428417096,91.84202245569277,57.60663112957307,101.90361214183135
2020-05-01,76.83886791565288,63.64373922938277,92.8743595748096,57.86560572537281,102.83800794260918
2020-06-01,72.88079515002421,59.9613479754657,86.617005743266,53.51368160835496,95.47614538458218
2020-07-01,74.53072739850106,62.269743321214925,89.39098955740062,55.75096486395979,98.9729220293033
2020-08-01,70.41547480804245,58.715368197537984,83.87290256108052,52.94314361181746,92.29973810474556
2020-09-01,75.32022603668885,63.06322556662638,90.74465346901594,56.91641040721697,101.09330977999187
2020-10-01,80.90883318051834,67.84993225022512,98.12618250837251,61.55655028274471,109.77343543592684
2020-11-01,78.93984611500338,65.64309169688003,96.81899352973898,59.87849883490607,107.97254788433743
2020-12-01,79.35809333406947,65.61722924589007,97.9811574654535,59.49904669009727,110.3464047983847
2021-01-01,75.72405731292,62.62342284725755,93.6379552175334,56.53562351502806,105.05189812787935
2021-02-01,79.3426290862882,64.90741890899679,98.87775087224448,58.88878166636891,110.17928647894225
2021-03-01,87.93979524846236,71.18675342767958,108.72946103218142,64.67387293485389,122.39066428509447
2021-04-01,72.91626145958708,59.62038931657716,88.75113823398247,53.22086206387776,99.71456021733873
2021-05-01,63.75123044340701,50.80769481937028,77.98623813487667,44.66256577804263,87.21538845844736
2021-06-01,72.8218253847347,59.38963225205946,90.53876987963417,52.5331076185254,102.82273135594609
2021-07-01,58.72436648235043,46.537017150772165,72.30269054366386,41.08157707701245,80.4203245818357
2021-08-01,60.37418706235212,48.51653722863961,74.2410141770499,42.862805165882,81.84474440434019
2021-09-01,65.96253768640159,53.48114521570132,80.9693851823293,47.95660027599715,90.9438955027527
2021-10-01,60.86507521197722,48.195008521653534,74.98488218984667,42.47417475783887,84.57831274117282
2021-11-01,57.68048440101698,44.86440578590549,71.94980060535343,38.686198298061214,80.95768863297381
2021-12-01,52.61627219444975,40.424048427975066,66.27523969075972,34.97855201026934,74.02750391409401
2022-01-01,59.449683244996145,46.9597906006224,74.07216827639975,40.68716560308104,83.54199955413323
