capta,time_date,median,l_ci80,u_ci80,l_ci95,u_ci95
0,2017-03-01,44.08627726167829,37.7635059949272,51.71048919406903,34.66241668763291,56.20242424036877
0,2017-04-01,44.249157318263926,38.14332670033839,51.39131156527729,35.15076855277141,55.392473592622
0,2017-05-01,44.766678478884,38.67364122681676,51.72788463928781,35.59382008507273,55.71118347728121
0,2017-06-01,44.94044032304262,39.035756369030565,51.63193661445612,36.373831598916595,55.619606014352186
0,2017-07-01,46.57833404635491,40.616716288930185,53.72951538940944,37.85688126875835,58.339266218175915
0,2017-08-01,46.16153116908845,40.388182512127,52.550832996129955,37.84183017584547,56.4891568162901
0,2017-09-01,47.405001129104534,41.65273960908623,53.98050395093496,39.08421811405901,58.13850690283123
0,2017-10-01,47.425026449367536,41.93022809236992,54.033894603006985,39.3429838666932,58.22447520250391
0,2017-11-01,47.99551400515485,42.41007864809977,54.63273899751528,39.90819395256722,58.87256648238805
0,2017-12-01,47.32312173498372,41.8544488734559,53.26460667912164,39.22346915794572,56.80559219577505
0,2018-01-01,47.25339490876903,41.64505453610714,53.16929681592966,38.71308307339387,56.09630538518477
0,2018-02-01,48.03961559534978,42.52933023498633,53.89369466757658,39.798586369293496,57.065590443177925
0,2018-03-01,48.46055300964551,43.25206017606133,54.22611531385723,40.511135203923644,57.45581906610406
0,2018-04-01,48.598483543443685,43.1996581591403,54.47511396574031,40.21837519246638,57.84604405068352
0,2018-05-01,49.638248051480595,44.29442907254327,55.75884626647084,41.565311549870195,60.05007150305944
0,2018-06-01,50.48519919341109,44.926905254956786,56.928489927375054,41.98728969170129,61.13640433927027
0,2018-07-01,50.80281751250881,45.33030855136339,57.30552421284384,42.89584797793127,61.57208286976337
0,2018-08-01,51.277141525230675,45.6413525520989,58.144134732770745,42.79614763270407,62.832897086732125
0,2018-09-01,51.474614836416194,45.57589887121271,58.270771671762986,42.90623563651819,62.44893259493714
0,2018-10-01,51.25200862586235,45.35567082557551,57.83507251333541,42.332922523175185,61.86982693938266
0,2018-11-01,52.22696638620002,46.10350796979243,59.51789297918097,43.27814931093348,63.97267290681708
0,2018-12-01,52.26356092030723,45.90816911427554,59.60286968253926,42.657456247507284,63.83534874783052
0,2019-01-01,51.716803716094034,45.29779423654701,59.00694497964446,41.905445243923104,63.43787941206977
0,2019-02-01,52.84264238670495,46.27914779057596,60.79434641799314,42.99272834228771,65.31577156579078
1,2019-03-01,48.608219497827875,41.99738879449147,56.330816559900626,38.737808573593604,60.84237408782125
1,2019-04-01,48.09648031955369,41.58328887970736,55.10875293312853,38.53292444996695,58.73084683097189
1,2019-05-01,48.32376579072539,42.40654501462055,55.198748262563015,39.701110673589874,59.45000081048392
1,2019-06-01,48.51308447602587,42.74772814400799,55.2874854590247,40.00347362330537,59.87275022189523
1,2019-07-01,47.06370104551589,41.75779304658169,53.04420030757621,39.10057700656125,56.995289281758595
